State,City,Place,Ratings,Place_desc,image,single_image,Budget_Category
Himachal Pradesh,Manali,Manalsu River,4.0," On the other side of the Manalsu river is a part of Manali, time left behind. With a sweet scent of an old world charm, interspersed with guesthouses and an increasing presence of tourism and hints of the present that it brings along, Old Manali is a tiny shift in the world and its rush, one must experience while here. ",https://www.google.com/search?q=Manalsu+River&udm=2,https://manalitourism.co.in/images/places-to-visit/headers/manalsu-river-manali-header-manali-tourism.jpg.jpg,Low
Himachal Pradesh,Manali,Solang Valley,4.6," Solang Valley is one of the most popular tourist destinations in Himachal Pradesh. It is popular for adventure sports. During winters, Solang valley is covered with snow making skiing is a popular sport here. There are training institutes and trainers located to supervise skiers and train beginners.  ",https://www.google.com/search?q=Solang+Valley&udm=2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYoTMz0U0aGFOo6xHE73YNAljdy-7NVkOfBQ&s,Medium
Himachal Pradesh,Manali,Jogini Waterfall,4.6,Jogini Waterfall is located about 3 kilometres away from the bustling town of Manali and around 2 kilometres away from Vashisht Temple. Tourists have to trek ahead from the temple to reach Jogini Waterfall.,https://www.google.com/search?q=+Jogini+Waterfall&udm=2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN9AXtdjjIzptVqQy3ZmyYj3p2LayCFv5ucw&s,Medium
Himachal Pradesh,Manali,Hadimba Temple,4.4," Hadimba temple, away from the hustle and bustle of city life,  is a peaceful place surrounded by towering deodar trees. The temple is dedicated to Hidimba, the wife of Bhima, one of the five Pandava prince from the great Indian epic Mahabharata. The main attraction of the temple is the three day Hidimba Devi Festival, which attracts devotees from all over the world and features colourful folk dance performances. ",https://www.google.com/search?q=+Hadimba+Temple&udm=2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcr81oYnN2DvYbzvDju-x4iUumwe6l2qBvoQ&s,Medium
Himachal Pradesh,Manali,Rohtang Pass,4.4," Rohtang pass is the stretch which connects Manali to Himachal's more dreamy and dessert-like landscapes, Spiti and Lahaul. This vast snow desert is a landscape like only a few other and a view one should not miss. Popular adventure sports here are sledge ride, mountain biking, and skiing. Many blockbusters ranging from 'Jab We Met' to 'Yeh Jawani Hai Deewani' have been shot here.  ",https://www.google.com/search?q=+Rohtang+Pass&udm=2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTy8mGm86AdOp9lF3kF2wbmPjB9sbM63OW9Bw&s,Medium
Himachal Pradesh,Manali,Parvati Valley,4.0," Parvati Valley is famous for the backpacker hangouts, and adventure activities. It is also a popular amongst hippie travellers for its famous charas (hashish), rave parties, and spiritual experience. Kasol, Malana, Tosh, Kalga, Pulga, Rasol, Kheerganga and Chalal are some of the vilages located in Parvati Valley. ",https://www.google.com/search?q=+Parvati+Valley&udm=2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSg5bLNrpdxMnEDZV4c9f0kUpKdSZDl53RJEg&s,Low
Himachal Pradesh,Manali,Sethan Valley,4.0," Sethan is a quaint village in Himachal Pradesh, approximately 12 km from Manali. This Buddhist village is a tiny hamlet that oversees the Dhauladhar range. Covered in snow during winters, Sethan Valley is a great place to try out skiing and snowboarding. ",https://www.google.com/search?q=+Sethan+Valley&udm=2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFtuMVWdIXKzDMrByhlEHFmRETanB49g3bJA&s,Medium
Himachal Pradesh,Manali,Jana Waterfall,5.0,Jana Waterfall is a 30 feet high watefall located near Manali in a quaint village called Jana. One has to trek to the waterfall through dense deodar and pine trees amidst snow-capped mountains. The climb is easier compared to many others in the region and can be completed by beginner level hikers too.  There's a wooden bridge laid perpendicular to the direction of Jana Falls which trekkers use to walk across. There is seating arrangement near the waterfall.,https://www.google.com/search?q=+Jana+Waterfall&udm=2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZ_voEF1V0FVRYC280Vh0t_fjFO8LHMxYO-A&s,Medium
Himachal Pradesh,Manali,Arjun Gufa,4.5,Arjun Gufa is considered to be a legendary natural formation in Manali. The cave is a favourite picnic spot and is also famous for the adventure of exploring the creation from inside. The climb up to the cave is exciting in itself with the surrounding natural landscape so beautiful it cannot be explained in words.,https://www.google.com/search?q=+Arjun+Gufa&udm=2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwtvk-SgrPyWWW9KfCqD-gEYG-Lvod8iURKA&s,Medium
Himachal Pradesh,Manali,Manu Temple,3.4," Manu temple is said to be the only temple of Manu in India, who is believed to be the creator of human race. This Pagoda style of structure offers quite a glimpse into history, spirituality as well as a fascinating style of architecture. ",https://www.google.com/search?q=++Manu+Temple&udm=2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRd1S5B4SusAj8ip9T3Jp44IAHcgfEvjHS4sg&s,Medium
